product_title,product_price,regular_price,product_shipping,product_rating,amazon_prime,review_count,product_link,item_searched,date
Guinness Metal Sign with Iconic Toucan with Football Design (20Cm X 30Cm),29.99,,,4.8,NO,46,https://www.amazon.com/Guinness-Iconic-Toucan-Football-Design/dp/B011BR5BZE/ref=sr_1_18?keywords=guinness+memorabilia&qid=1671397212&sr=8-18,guiness memoribilia,2022-12-18
"Neon Beer Signs, Windows Light LDGJ Colorful Handmade Glass Neon Signs for Wall Decor,Neon Light Signs for Beer Bar Club,Cabana Bar,Restaurant,Ideal for Gifts- Cocktails and Dreams",124.99,139.99,,4.4,NO,82,https://www.amazon.com/LDGJ-Crown-Recreation-Lights-Windows/dp/B01C0FNCT8/ref=sr_1_19?keywords=guinness+memorabilia&qid=1671397212&sr=8-19,guiness memoribilia,2022-12-18
SmartCows Aim for A Guinness Vintage Decor Sign 12x16 Tin Sign,15.99,,,4.7,NO,5,https://www.amazon.com/SmartCows-Guinness-Vintage-Decor-12x16/dp/B0899DJLX3/ref=sr_1_20?keywords=guinness+memorabilia&qid=1671397212&sr=8-20,guiness memoribilia,2022-12-18
TISOSO Metal Running Deer Bullet Holes Crossing Signs Warning Street Road Tin Sign Vintage Outdoor Living Room Kitchen Decorations 12X12Inch,12.99,,,4.6,NO,124,https://www.amazon.com/TISOSO-Running-Crossing-Decorations-12X12Inch/dp/B07KYKW35X/ref=sr_1_21?keywords=guinness+memorabilia&qid=1671397212&sr=8-21,guiness memoribilia,2022-12-18
"Beer Signs, Arikit Metal Bar Signs, Retro Tin Vintage Wall Decorations, Beer Handmade Wall Art Hanging Light Up Sign, for Bar, Home, Kitchen, Living Room",31.99,,,4.6,NO,25,https://www.amazon.com/Arikit-Vintage-Decorations-Handmade-Hanging/dp/B09BF112BH/ref=sr_1_22?keywords=guinness+memorabilia&qid=1671397212&sr=8-22,guiness memoribilia,2022-12-18
Alec Guinness Star Wars Authentic Signed 3.5x4 7/8 Photo PSA/DNA Slabbed,1799.99,,,0,NO,0,https://www.amazon.com/Guinness-Authentic-Signed-3-5x4-Slabbed/dp/B06Y4DC9C4/ref=sr_1_23?keywords=guinness+memorabilia&qid=1671397212&sr=8-23,guiness memoribilia,2022-12-18
Extra Parrot Lady Luck Metal Frame Neon Sign 42X32CM Real Glass Neon Sign Light for Beer Bar Pub Garage Room,129.99,,,4.2,NO,102,https://www.amazon.com/Corona-Extra-Parrot-Neon-Garage/dp/B0772GZYPB/ref=sr_1_24?keywords=guinness+memorabilia&qid=1671397212&sr=8-24,guiness memoribilia,2022-12-18
Keviewly Guinness for Strength Tin Sign Vintage Wall Poster Retro Iron Painting Metal Plaque Sheet for Bar Cafe Garage Home Gift Birthday Wedding,12.99,,,4.0,NO,9,https://www.amazon.com/Keviewly-Guinness-Strength-Painting-Birthday/dp/B08Z6NM7W4/ref=sr_1_25?keywords=guinness+memorabilia&qid=1671397212&sr=8-25,guiness memoribilia,2022-12-18
FINEON M Parrot Handcrafted Glass Tube neon Sign 17(w) insx14(h) ins for Bedroom Decoration Bar Pub Neon Light Gift,119.99,,,4.9,NO,12,https://www.amazon.com/Parrot-Handcrafted-Glass-insx13-Bedroom/dp/B07JKJ8N2R/ref=sr_1_26?keywords=guinness+memorabilia&qid=1671397212&sr=8-26,guiness memoribilia,2022-12-18
"Alec Guinness""Star Wars"" AUTOGRAPH Signed Custom Framed 16x20 Display ACOA LOA",850.99,,,0,NO,0,https://www.amazon.com/Guinness-AUTOGRAPH-Signed-Custom-Display/dp/B09GG5QNGF/ref=sr_1_27?keywords=guinness+memorabilia&qid=1671397212&sr=8-27,guiness memoribilia,2022-12-18
