product_title,product_price,regular_price,product_shipping,supplier_rating,amazon_prime,review_count,product_link,item_searched,date
Aquatic Discovery Expedition Research & Rescue Submarine Toy with 6 Ocean Sea Animalsunderwater Boat Set for Kids,49.99,,,3.9,YES,36,https://www.amazon.com/Aquatic-Discovery-Expedition-Submarine-Animals-Underwater/dp/B07HFMJFCB/ref=sr_1_17?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-17,supersonic underwater submarine,2022-08-27
Tipmant Mini RC Submarine Remote Control Boat Ship Military Model Electronic Water Toy Diving for Fish Tank Water Tub Kids Birthday Gift (Green),29.99,,,3.7,YES,263,https://www.amazon.com/Tipmant-Submarine-Military-Electronic-Waterproof/dp/B07X94MKQS/ref=sr_1_18?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-18,supersonic underwater submarine,2022-08-27
"Green Toys Submarine - BPA, Phthalate Free Blue Watercraft with Spinning Rear Propeller Made from Recycled Materials. Safe Toys for Toddlers",14.99,,,4.7,YES,6783,https://www.amazon.com/Green-Toys-Submarine-Watercraft-Materials/dp/B008LQXR8W/ref=sr_1_19?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-19,supersonic underwater submarine,2022-08-27
"Jujuism Mini Remote Control Nuclear Submarine RC Race Boat Ship High Speed Waterproof Diving in Pools Lake Ponds, Best Gift for Kids Boys(Black)",29.99,,,3.1,YES,161,https://www.amazon.com/Jujuism-Submarine-Control-Electronic-Waterproof/dp/B07BTN6C9X/ref=sr_1_20?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-20,supersonic underwater submarine,2022-08-27
Tipmant Mini Remote Control Nuclear Submarine Toy RC Boat Electronic Water Kids Birthday Gifts (Blue),26.99,,,3.2,YES,74,https://www.amazon.com/Tipmant-Control-Nuclear-Submarine-Electronic/dp/B087JKD5ST/ref=sr_1_21?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-21,supersonic underwater submarine,2022-08-27
Tipmant Mini RC Fish Electronic Shark Remote Control Boat Ships & Submarine Swim in Water Pool Bathtub Kids Electric Toy (Black & Blue),29.99,,,3.1,YES,110,https://www.amazon.com/Tipmant-Control-Submarine-Bathtub-Electric/dp/B07MDLS4HW/ref=sr_1_22?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-22,supersonic underwater submarine,2022-08-27
"Remote Control Submarine, RC Submarine Model Diving Boat Remote Control Rechargeable Toy ( Color : Blue )",46.99,,,3.2,YES,72,https://www.amazon.com/VGEBY-Submarine-Diving-Control-Rechargeable/dp/B0761T6TNR/ref=sr_1_23?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-23,supersonic underwater submarine,2022-08-27
ULTECHNOVO Mini Submarine Ship Underwater Submarine DIY Physical Buoyancy Experiment Science and Technology Intelligence Toy,8.99,,,,NO,,https://www.amazon.com/ULTECHNOVO-Underwater-Experiment-Technology-Intelligence/dp/B08HMWNN3L/ref=sr_1_24?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-24,supersonic underwater submarine,2022-08-27
"Tipmant Mini RC Fish Shark Remote Control Boat Ships & Submarine for Fish Tank, Swimming Pool, Bathtub Kids Electric Animal Toy - 3 Pack",42.99,,,3.5,YES,125,https://www.amazon.com/Tipmant-Control-Submarine-Swimming-Electric/dp/B07RSJGPHW/ref=sr_1_25?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-25,supersonic underwater submarine,2022-08-27
Nsddm Submarine Remote Control Boat ，Control Submarine Underwater Drone Boat Drones with Camera Remote Contro Boat for Kids Gift (Color : Blue),44.99,,,5.0,NO,1,https://www.amazon.com/Nsddm-Submarine-Control-%EF%BC%8CControl-Underwater/dp/B09LCTDFNM/ref=sr_1_26?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-26,supersonic underwater submarine,2022-08-27
Gods Kingdom Waterproof 300W Electric Underwater Sea Scooter Dual Speed Propeller Drving Pool Rc Submarine Toy,499.99,,,,NO,,https://www.amazon.com/Gods-Kingdom-Waterproof-Underwater-Propeller/dp/B07KFD5DLB/ref=sr_1_27?keywords=supersonic+underwater+submarine&qid=1661583004&sr=8-27,supersonic underwater submarine,2022-08-27
